Number,Name,Games,AVG,PA,AB,R,Hits,RBI,Doubles,Triples,HR,GS,SF,SACB,BB,K,HBP,ROE,FC,LOB,OBP,SLG,OPS,ISOP,BABIP,OPS+,wOBA,wRAA
1,R. Winsor(Sr),18,0.25,54,44,10,11,8,2,0,0,0,1,1,7,3,1,4,3,16,0.358,0.295,0.653,0.045,0.262,89,0.304,-1.33
10,D. Waldorph(Jr),18,0.319,49,47,1,15,5,1,0,1,0,0,0,2,11,0,1,2,21,0.347,0.404,0.751,0.085,0.4,103,0.333,-0.02
12,L. Setser(Jr),14,0.292,25,24,4,7,2,2,0,0,0,0,1,0,9,0,0,0,9,0.292,0.375,0.667,0.083,0.467,91,0.291,-0.89
13,B. Edwards(Sr),18,0.25,53,48,4,12,7,5,0,1,0,0,0,4,14,1,0,0,25,0.321,0.416,0.737,0.166,0.333,101,0.326,-0.33
15,N. Mannina(Sr),17,0.302,48,43,1,13,7,2,0,0,0,1,0,4,1,0,2,2,21,0.354,0.348,0.702,0.046,0.302,96,0.314,-0.78
16,D. Null(Jr),5,0.5,3,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0.667,1.0,1.667,0.5,1.0,228,0.653,0.8
17,P. Conrad(Sr),11,0.5,5,4,2,2,0,2,0,0,0,0,0,1,1,0,0,0,1,0.6,1.0,1.6,0.5,0.667,218,0.646,1.3
18,N. Hawkins(Jr),10,0.333,6,6,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.333,0.5,0.833,0.167,0.4,114,0.36,0.13
2,A. Rivera(Jr),16,0.13,30,23,3,3,1,0,0,0,0,0,2,4,9,1,0,0,13,0.286,0.13,0.416,0.0,0.214,57,0.22,-2.84
21,L. Knezevic(So),11,0.0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.56
24,E. Vietvu(So),9,0.118,17,17,1,2,1,1,0,0,0,0,0,0,6,0,1,0,16,0.118,0.176,0.294,0.058,0.182,40,0.127,-2.93
3,D. Gonzales(Sr),18,0.397,60,58,8,23,9,6,0,0,0,0,0,2,7,0,1,2,22,0.417,0.5,0.917,0.103,0.451,125,0.402,3.42
6,R. Nickelson-Stamer(Sr),18,0.346,56,52,5,18,3,3,0,0,0,0,1,1,12,2,2,1,18,0.382,0.403,0.785,0.057,0.45,107,0.351,0.82
7,C. Von Barloewen(Jr),18,0.226,59,53,12,12,4,4,0,0,0,0,0,6,11,0,3,2,30,0.305,0.301,0.606,0.075,0.286,83,0.277,-2.78
9,R. Field(Jr),17,0.182,52,44,4,8,3,2,0,0,0,0,0,8,6,0,5,3,27,0.308,0.227,0.535,0.045,0.211,73,0.258,-3.27
