Number,Name,Games,AVG,PA,AB,R,Hits,RBI,Doubles,Triples,HR,GS,SF,SACB,BB,K,HBP,ROE,FC,LOB,OBP,SLG,OPS,ISOP,BABIP,OPS+,wOBA,wRAA
11,J. Caltagirone(Sr),6,0.333,5,3,2,1,1,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.666,0.0,0.333,91,0.297,-0.15
12,M. Smith(Jr),2,0.0,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,0.0,0,,
16,E. Nguyen-Fell(Sr),2,0.0,2,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,68,0.345,0.02
19,C. Hardtke(Sr),18,0.355,72,62,16,22,16,7,0,0,0,1.0,0.0,8.0,7.0,1.0,2.0,2.0,14.0,0.431,0.467,0.898,0.112,0.393,123,0.396,3.75
2,C. Canter(Jr),18,0.328,65,61,13,20,11,1,0,0,0,1.0,0.0,2.0,9.0,1.0,1.0,2.0,13.0,0.354,0.344,0.698,0.016,0.377,95,0.312,-1.17
22,E. Chang(So),16,0.15,43,40,0,6,1,0,0,0,0,0.0,0.0,3.0,20.0,0.0,1.0,1.0,10.0,0.209,0.15,0.359,0.0,0.3,49,0.172,-5.79
24,R. Son(So),18,0.327,67,49,7,16,10,2,0,0,0,0.0,0.0,14.0,9.0,4.0,0.0,1.0,21.0,0.507,0.367,0.874,0.04,0.4,119,0.411,4.33
25,T. Coffey(Sr),18,0.321,71,56,13,18,17,3,0,1,0,0.0,0.0,13.0,10.0,2.0,1.0,3.0,19.0,0.465,0.428,0.893,0.107,0.378,122,0.405,4.23
28,C. Fischer(Jr),8,0.1,11,10,0,1,0,0,0,0,0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.182,0.1,0.282,0.0,0.125,38,0.144,-1.74
3,D. Poole(Sr),18,0.452,75,62,21,28,10,6,1,1,0,0.0,0.0,8.0,6.0,5.0,1.0,0.0,16.0,0.547,0.629,1.1760000000000002,0.177,0.491,161,0.51,11.03
33,J. Visperas(Fr),18,0.245,63,53,6,13,12,4,0,1,0,0.0,0.0,9.0,12.0,1.0,2.0,2.0,15.0,0.365,0.377,0.742,0.132,0.3,101,0.337,0.18
5,B. Hernandez(Jr),18,0.437,74,71,18,31,9,9,0,0,0,0.0,0.0,1.0,10.0,2.0,0.0,3.0,11.0,0.459,0.563,1.022,0.126,0.508,139,0.448,7.06
6,V. Goel(Jr),4,0.0,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.56
8,S. Nguyen-Fell(Jr),18,0.255,60,51,6,13,9,2,0,0,0,1.0,0.0,5.0,11.0,3.0,3.0,1.0,14.0,0.35,0.294,0.6439999999999999,0.039,0.317,88,0.299,-1.73
