Number,Name,Games,AVG,PA,AB,R,Hits,RBI,Doubles,Triples,HR,GS,SF,SACB,BB,K,HBP,ROE,FC,LOB,OBP,SLG,OPS,ISOP,BABIP,OPS+,wOBA,wRAA
15,R. Hauck(Sr),14,0.25,24,16,4,4,0,0,0,0,0,0,1,2,3,5,0,1,5,0.478,0.25,0.728,0.0,0.308,99,0.371,0.75
17,A. Sullivan(Sr),17,0.283,55,53,5,15,7,6,0,0,0,0,0,1,4,1,7,2,23,0.309,0.396,0.7050000000000001,0.113,0.306,96,0.31,-1.08
2,M. Balderas(Sr),17,0.22,53,50,2,11,4,0,1,0,0,0,0,3,5,0,4,4,23,0.264,0.26,0.524,0.04,0.244,72,0.238,-4.22
22,L. Gabbani (Sr),18,0.227,51,44,4,10,4,2,0,0,0,2,1,1,11,3,0,1,26,0.28,0.272,0.552,0.045,0.286,75,0.25,-3.55
5,Q. Hagen(Sr),15,0.257,40,35,5,9,2,0,0,0,0,0,2,3,4,0,1,3,14,0.316,0.257,0.573,0.0,0.29,78,0.265,-2.28
A.,Fregoso(Jr),7,0.091,13,11,0,1,0,0,0,0,0,0,0,2,3,0,0,0,5,0.231,0.09,0.321,-0.001,0.125,44,0.175,-1.72
A.,Lore(Jr),6,0.0,12,5,0,0,1,0,0,0,0,0,2,3,1,2,2,0,2,0.5,0.0,0.5,0.0,0.0,68,0.351,0.17
A.,Pierson (Jr),4,0.0,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.11
D.,Brown(So),8,0.2,12,10,2,2,2,0,0,1,0,0,0,2,3,0,0,0,8,0.333,0.5,0.833,0.3,0.167,114,0.364,0.3
D.,Vallejo(Jr),15,0.211,41,38,4,8,2,0,0,0,0,0,0,1,1,2,3,0,18,0.268,0.21,0.478,-0.001,0.216,65,0.226,-3.67
H.,Rubbo(So),18,0.268,59,56,5,15,3,2,1,0,0,0,0,0,13,3,1,1,22,0.305,0.339,0.644,0.071,0.349,88,0.288,-2.24
J.,Leon(Sr),2,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.56
J.,Rosyski(Jr),12,0.107,30,28,0,3,0,0,0,0,0,0,0,2,10,0,0,1,15,0.167,0.107,0.274,0.0,0.167,37,0.135,-4.96
R.,Aguayo(Sr),12,0.294,20,17,4,5,0,1,0,0,0,0,0,1,4,2,0,0,10,0.4,0.352,0.752,0.058,0.385,103,0.348,0.24
V.,Pomo(Jr),16,0.108,47,37,5,4,5,0,0,0,0,0,2,8,14,0,2,2,21,0.267,0.108,0.375,0.0,0.174,51,0.202,-5.15
Y.,Saini(Sr),9,0.154,17,13,0,2,0,0,0,0,0,0,1,1,6,2,0,0,8,0.312,0.153,0.4649999999999999,-0.001,0.286,63,0.244,-1.27
Z.,Percini(Jr),3,0.0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.39
